_id,Link,city,co_active_industries,co_name
64464a35da32c8a9d4601de1,acs-ltd.uk.com,Genoa,"['Electronics', 'Manufacturing']",Automated Control Solutions
64464a45da32c8a9d4601e0b,www.windturbines.net,Not Defined,"['Industrial Machinery & Equipment', 'Manufacturing']",Wind Turbines
64464a54da32c8a9d4601e3f,www.unicoesemplare.it,Bergamo,"['Manufacturing', 'Motor Vehicles']",Unico esemplare
64464c2c7faf219a60bb7571,www.faravelli.it,Milan,"['Chemicals & Related Products', 'Manufacturing']",Giusto Faravelli SpA
64464c4d7faf219a60bb75e3,www.camser.com,Bologna,"['Industrial Machinery & Equipment', 'Manufacturing']",CAMSER companies
64464c4d7faf219a60bb75eb,www.zoomlioncapital.it,Senago,"['Industrial Machinery & Equipment', 'Manufacturing']",Zoomlion Capital Italy Spa
64464c8f7faf219a60bb76e9,www.polenghigroup.it,San Rocco al Porto,"['Food & Beverage', 'Manufacturing']",Polenghi Las
64464c8f7faf219a60bb76f9,www.lhgroup.eu,Rottofreno,"['Computer Equipment & Peripherals', 'Manufacturing']",LH GROUP Sas di Morello Andrea
64464ca27faf219a60bb7741,www.adottaitalia.com,Thiene,"['Building Materials', 'Manufacturing']",ADOTTA ITALIA
64464cbc7faf219a60bb77a1,www.popmantova.it,Mantova,"['Industrial Machinery & Equipment', 'Manufacturing']",Banca Popolare di Mantova SpA
64464cf17faf219a60bb786d,www.omi-italy.it,Fogliano Redipuglia,"['Industrial Machinery & Equipment', 'Manufacturing']",Officine Meccaniche Industriali
64464d187faf219a60bb7914,www.pandoragreen.com,Roma,"['Manufacturing', 'Banking']",Pandora Green SpA
64464d467faf219a60bb79ce,www.giorgiodecapitani.it,Milano,"['Industrial Machinery & Equipment', 'Manufacturing']",Giorgio De Capitani
64464d6e7faf219a60bb7a60,www.mecof.eu,Serramazzoni,"['Industrial Machinery & Equipment', 'Manufacturing']",Mecof
64464d7b7faf219a60bb7aa4,www.dynamic-italy.it,Cassine,"['Manufacturing', 'Plastic', 'Packaging & Containers']",Dynamic
64464d887faf219a60bb7acb,www.emme-italia.com,Chiusi della Verna,"['Industrial Machinery & Equipment', 'Manufacturing']",Emme Antincendio
64464d957faf219a60bb7afa,www.amgsud.com,Cadoneghe,"['Industrial Machinery & Equipment', 'Manufacturing']",AMG Sud
64464d957faf219a60bb7afe,www.assobirra.it,Roma,"['Food & Beverage', 'Manufacturing']",AssoBirra
64464daf7faf219a60bb7b5f,www.fratellirotta.com,Oggiono,"['Manufacturing', 'Pulp & Paper']",Fratelli Rotta
64464dd77faf219a60bb7c07,www.complastitaly.it,Not Defined,"['Wire & Cable', 'Manufacturing']",Ebrille
64464dde7faf219a60bb7c1e,www.lcm-group.it,Sesto San Giovanni,"['Chemicals & Related Products', 'Manufacturing']",LCM Group
64464dfe7faf219a60bb7ca2,www.adcsrl.com,Milano,"['Manufacturing', 'Banking']",ADC
64464e127faf219a60bb7ce5,www.lucente.eu,Paese,"['Electronics', 'Manufacturing']",Lucente
64464e1f7faf219a60bb7d22,www.arete-methodos.com,Roma,"['Manufacturing', 'Motor Vehicles']",Areté Methodos
64464e407faf219a60bb7da2,www.smartoperations.it,Prato,"['Industrial Machinery & Equipment', 'Manufacturing']",Smartoperations
64464e4d7faf219a60bb7dd4,www.showine.it,Not Defined,"['Food & Beverage', 'Manufacturing']",Showine
64464e827faf219a60bb7ea7,www.zagara.eu,Gallarate,"['Food & Beverage', 'Manufacturing']",Zagara
64464eeed40efb7b98965622,www.multi2hycat.eu,Not Defined,"['Chemicals & Related Products', 'Manufacturing']",MULTI2HYCAT project
64464eeed40efb7b98965629,comune.torino.it,Torino,"['Manufacturing', 'Government']",Citta di Torino
64464ef5d40efb7b98965648,www.cristanini.it,Rivoli Veronese,"['Manufacturing', 'Test & Measurement Equipment']",The Cristanini SpA
64464efcd40efb7b98965659,www.jvinternational.com,Milano,"['Manufacturing', 'Textiles & Apparel']",Michelin Technical Soles - JV International
64464fcdd40efb7b98965956,www.safeland-project.eu,Not Defined,"['Aerospace & Defense', 'Manufacturing']",SAFELAND Project
64465021d40efb7b98965a8d,www.icehtmc.com,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",III ICEHTMC Congress
64465055d40efb7b98965b32,www.blu-spark.eu,Not Defined,"['Aerospace & Defense', 'Manufacturing']",BLU-SPARK project
6446506cd40efb7b98965b86,www.brinkverkeer.nl,Amersfoort,"['Industrial Machinery & Equipment', 'Manufacturing']",Brink Verkeer
6446506cd40efb7b98965b8e,www.reersafety.it,Not Defined,"['Manufacturing', 'Electronics']",ReeR Safety (Italia
6446507ad40efb7b98965bb7,www.tmdrelief.eu,Not Defined,"['Manufacturing', 'Medical Devices & Equipment']",TMD Relief
6446508fd40efb7b98965c08,www.rockfalldefence.com,Mezzolombardo,"['Manufacturing', 'Federal']",Rockfall Defence
64465095d40efb7b98965c1e,dsat.space,Not Defined,"['Aerospace & Defense', 'Manufacturing']",D-Sat Mission
644650a3d40efb7b98965c62,www.certificazionece.it,Milano,"['Industrial Machinery & Equipment', 'Manufacturing']",Certificazione CE
644650bfd40efb7b98965cc4,www.imperiumest.eu,Not Defined,"['Cosmetics', 'Beauty Supply & Personal Care Products', 'Manufacturing']",Imperium Est
